,created_at,screen_name,text,favorite_count,retweet_count,media_type,media_url,slug,human,human_count,type,race,race_confidence,gender,gender_confidence,comments,county,coder
8.60E+17,42857.91944,AshevillePolice,School starts tomorrow for @AVLCitySchools and @BuncombeSchools! Need a refresher on when to stop for school buses? Check out the graphic. We suggest leaving earlier than usual for your morning commutes this week to account for increased traffic in neighborhoods &amp; school zones. https://t.co/QEIS669hcs,1,5,photo,http://pbs.twimg.com/media/C-2o5OGW0AAspfB.jpg,C-2o5OGW0AAspfB.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
8.58E+17,42852.88958,AshevillePolice,"APD is requesting assistance locating missing Juvenile, Daniel Bradley Ingle. Ingle was last known to be wearing a black t shirt, black shorts, &amp; black shoes with turquoise designs and shoe strings. Ingle’s last reported contact with anyone was on August 6 in West Asheville. https://t.co/UzMLJajIEB",0,5,photo,http://pbs.twimg.com/media/C-cva8AXYAQSPd5.jpg,C-cva8AXYAQSPd5.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
8.58E+17,42853.56458,AshevillePolice,"Have you seen this person pictured, William Jeter Henson, III? He's wanted in connection with several break-ins at local businesses. Call 828-252-1110 with information. See release below for more details. https://t.co/1P4auF8t2b",1,7,photo,http://pbs.twimg.com/media/C-gNd_4W0AEjF5w.jpg,C-gNd_4W0AEjF5w.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
8.12E+17,42726.63194,AshevillePolice,"#UPDATE: The Asheville Police Department believes the suspect is operating a Ford Taurus model year 2000-2007. The vehicle, which is a green or blue color, changing depending on the light, has a dark tint and Texas tags. https://t.co/aVWQl3lrQZ",1,22,photo,http://pbs.twimg.com/media/C0SiHR-UUAEj02W.jpg,C0SiHR-UUAEj02W.jpg,1,1,3,2,2,2,2,"
",Asheville,Wilson
8.33E+17,42784.00486,AshevillePolice,@WLOS_13 @asheville @foxcarolinanews @wyffnews4 @WSPA7 @newsradio570 @mxnews https://t.co/cBP1hk3QaN,0,0,photo,http://pbs.twimg.com/media/C45_ap1UEAIYX55.jpg,C45_ap1UEAIYX55.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
8.32E+17,42781.83194,AshevillePolice,@WLOS_13 @asheville @foxcarolinanews @wyffnews4 @WSPA7 @newsradio570 @mxnews https://t.co/TBPFxKwmeX,0,4,photo,http://pbs.twimg.com/media/C4uzWOwWQAAx3qn.jpg,C4uzWOwWQAAx3qn.jpg,1,1,3,1,2,1,2,REPEAT,Asheville,Wilson
8.47E+17,42823.69583,AshevillePolice,A man wanted in connection with breaking into several local businesses is now under arrest. The Asheville Police Department (APD) arrested 29-year-old Travis Shaqwann Fair of Asheville Monday. https://t.co/owhwR50bMH,1,8,photo,http://pbs.twimg.com/media/C8GZbERW4AE3XuB.jpg,C8GZbERW4AE3XuB.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
7.05E+17,42431.04722,AshevillePolice,@WLOS_13 @asheville @wyffnews4 @WSPA7 @FoxCarolina https://t.co/xub6bUceIp,0,3,photo,http://pbs.twimg.com/media/CcgUYplW4AIwK3n.jpg,CcgUYplW4AIwK3n.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
7.15E+17,42458.55764,AshevillePolice,@WLOS_13 @AshevillePolice @wyffnews4 @WSPA7 @FoxCarolina https://t.co/IW9mL4UmHm,3,15,photo,http://pbs.twimg.com/media/Cet_hzOXIAAB2qs.jpg,Cet_hzOXIAAB2qs.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
7.53E+17,42563.53958,AshevillePolice,#DidYouKnow: 2011 @DHSgov replaced color-coded alerts w/ Nat'l Terrorism Adv System (NTAS)? New system is designed to more effectively communicate info about terrorist threats to public. If you #SEESOMETHINGSAYSOMETHING by calling 911 or (828) 252-1110. https://t.co/kkKMHJt2AC https://t.co/0yF2P88S3s,2,3,photo,http://pbs.twimg.com/media/CnKoQ0wWAAAdkl3.jpg,CnKoQ0wWAAAdkl3.jpg,1,1,3,1,2,2,2,"
",Asheville,Wilson
7.80E+17,42637.7125,AshevillePolice,"While attending a community meeting at TD Bank downtown, a group of young community members asked Ofcr Holder to see his 🚔...and we OF COURSE said yes! #copsandkids https://t.co/8Lt5KztCYc",3,10,photo,http://pbs.twimg.com/media/CtImuS7WIAAk3xx.jpg,CtImuS7WIAAk3xx.jpg,1,1,3,2,2,2,2,"
",Asheville,Wilson
8.01E+17,42696.65694,AshevillePolice,"Only 4 days until #CoffeewithaCop! Join your neighbors &amp; #lawenforcement reps from APD for ☕️ &amp; conversation. No agenda or speeches, just a chance to ask ❓, voice concerns and get to know the 👮‍♀️👮‍♂️ in your neighborhood! @CoffeewithaCop https://t.co/4j4tvG3U17",0,24,photo,http://pbs.twimg.com/media/Cx333EBXEAAsDKy.jpg,Cx333EBXEAAsDKy.jpg,1,1,3,2,2,2,2,"
",Asheville,Wilson
1.11E+18,43553.92153,AshevillePolice,"#UnderInvestigation: APD seeking info on shooting that occurred on 8/18 at 2:45a on Cordova St. Total of 17 shell casings from AK47 type gun found at scene. Fortunately, no one injured.",0,4,photo,http://pbs.twimg.com/media/D228VVJWwAAZVee.jpg,D228VVJWwAAZVee.jpg,1,1,3,1,2,1,2,"
",Asheville,Wilson
1.13E+18,43601.62083,AshevillePolice,"Since 1/1/20 APD responded to 414 gun discharge/gunshot wound CFS. Since 1/1/20, 31 individuals have been shot. https://t.co/7DsnetLDpp",0,3,photo,http://pbs.twimg.com/media/D6skysGXkAQv27B.png,D6skysGXkAQv27B.png,1,1,3,1,2,1,2,"
",Asheville,Wilson
